"","x","nMx","nqx","npx","lx","ndx","nLx","Tx","ex"
"1",0,0,0,1,1,0,1,66.3974208773853,66.3974208773853
"2",1,0,0,1,1,0,4,65.3974208773853,65.3974208773853
"3",5,0,0,1,1,0,5,61.3974208773853,61.3974208773853
"4",10,0,0,1,1,0,5,56.3974208773853,56.3974208773853
"5",15,0,0,1,1,0,5,51.3974208773853,51.3974208773853
"6",20,0,0,1,1,0,5,46.3974208773853,46.3974208773853
"7",25,0,0,1,1,0,5,41.3974208773853,41.3974208773853
"8",30,0,0,1,1,0,5,36.3974208773853,36.3974208773853
"9",35,0,0,1,1,0,5,31.3974208773853,31.3974208773853
"10",40,0.0253774901662226,0.119167195981506,0.880832804018494,1,0.119167195981506,4.69578335765126,26.3974208773853,26.3974208773853
"11",45,0.0260740740740741,0.12222972939082,0.87777027060918,0.880832804018494,0.107663955273737,4.12915737555527,21.7016375197341,24.6376354521856
"12",50,0.0145296040682891,0.0700719118007316,0.929928088199268,0.773168848744756,0.0541774193763157,3.72876088857493,17.5724801441788,22.7278687866277
"13",55,0.0381287578823874,0.173573082255216,0.826426917744784,0.71899142936844,0.124797558510564,3.27305596724437,13.8437192556039,19.254359217834
"14",60,0.0417570063438529,0.188430321368602,0.811569678631398,0.594193870857876,0.111964142041004,2.68132588622426,10.5706632883595,17.789923132492
"15",65,0.0335084913563323,0.154259290902052,0.845740709097948,0.482229728816873,0.0743884160191797,2.21998702442693,7.88933740213523,16.3601224285598
"16",70,0.0567375886524823,0.246998412734693,0.753001587265307,0.407841312797693,0.100736156908664,1.7754747655152,5.6693503777083,13.9008732068312
"17",75,0.0634688148419382,0.271919801595737,0.728080198404263,0.307105155889029,0.0835079730583728,1.31573235243702,3.8938756121931,12.6792909123288
"18",80,0.0740740740740741,0.309521449522891,0.690478550477109,0.223597182830657,0.0692081241389797,0.934309675876225,2.57814325975608,11.5303029632026
"19",85,0.197044334975369,0.626643545983303,0.373356454016697,0.154389058691677,0.0967469071995767,0.490990554037852,1.64383358387986,10.6473450761992
"20",90,0,0,1,0.0576421514921002,0,0.288210757460501,1.152843029842,20
"21",95,0,0,1,0.0576421514921002,0,0.288210757460501,0.864632272381503,15
"22",100,0,1,0,0.0576421514921002,0.0576421514921002,0.576421514921002,0.576421514921002,10
