0;0;7.3;63393;949714638
0;1;3.4;437;16383240
0;2;6.2;921;18804226
0;3;8.5;1375;20491638
0;4;9.7;1597;20645967
0;5;10.6;1807;20824399
0;6;11.6;2004;21035770
0;7;11.8;2074;21272552
0;8;12.5;2253;21526796
0;9;12.8;2363;21689241
0;10;11.7;2197;21822466
0;11;12.2;2343;21998396
0;12;12.1;2372;22197735
0;13;12.5;2502;22423982
0;14;12.9;2625;22644373
0;15;14.8;3076;22872669
0;16;14.2;2995;23111066
0;17;14.2;3059;23349445
0;18;15.7;3421;23657474
0;19;17.5;3864;23998620
0;20;17.8;4014;24368037
0;21;14.0;3227;24713120
0;22;10.7;2487;25022087
0;23;9.0;2121;25339972
0;24;7.2;1709;25652964
0;25;6.5;1551;25969420
0;26;4.8;1172;26263552
0;27;4.1;1017;26520657
0;28;2.7;674;26787544
0;29;2.0;509;27018187
0;30;1.5;377;27165850
0;31;1.0;250;27298693
0;32;0.7;177;27458357
0;33;0.5;123;27662860
0;34;0.3;89;27954662
0;35;0.3;97;28212877
0;36;0.3;72;28496587
0;37;0.2;66;28777105
0;38;0.6;179;29014672
0;39;0.6;197;29267380
1;0;29.7;265112;949714638
1;1;2.0;251;16383240
1;2;3.9;581;18804226
1;3;5.2;842;20491638
1;4;7.2;1175;20645967
1;5;8.3;1387;20824399
1;6;8.8;1518;21035770
1;7;9.8;1701;21272552
1;8;10.1;1797;21526796
1;9;10.4;1903;21689241
1;10;10.7;1998;21822466
1;11;12.0;2289;21998396
1;12;13.6;2643;22197735
1;13;15.1;3002;22423982
1;14;16.0;3252;22644373
1;15;18.7;3854;22872669
1;16;21.2;4462;23111066
1;17;23.6;5070;23349445
1;18;30.6;6672;23657474
1;19;43.1;9593;23998620
1;20;49.5;11259;24368037
1;21;46.4;10692;24713120
1;22;41.8;9737;25022087
1;23;41.8;9825;25339972
1;24;44.0;10417;25652964
1;25;47.4;11366;25969420
1;26;48.2;11699;26263552
1;27;54.4;13367;26520657
1;28;55.1;13716;26787544
1;29;57.9;14611;27018187
1;30;58.8;15143;27165850
1;31;41.5;10907;27298693
1;32;33.4;8990;27458357
1;33;31.1;8568;27662860
1;34;33.0;9298;27954662
1;35;33.0;9577;28212877
1;36;28.1;8464;28496587
1;37;26.2;8127;28777105
1;38;24.7;7925;29014672
1;39;22.5;7434;29267380
2;0;19.1;168837;949714638
2;1;2.8;342;16383240
2;2;4.8;690;18804226
2;3;5.8;927;20491638
2;4;5.7;909;20645967
2;5;6.4;1040;20824399
2;6;6.4;1072;21035770
2;7;6.6;1136;21272552
2;8;7.3;1280;21526796
2;9;7.6;1347;21689241
2;10;8.0;1478;21822466
2;11;8.7;1625;21998396
2;12;9.1;1734;22197735
2;13;10.0;1960;22423982
2;14;10.7;2134;22644373
2;15;11.2;2287;22872669
2;16;11.6;2391;23111066
2;17;12.1;2540;23349445
2;18;13.5;2895;23657474
2;19;17.3;3803;23998620
2;20;19.3;4336;24368037
2;21;16.6;3806;24713120
2;22;14.2;3286;25022087
2;23;13.9;3269;25339972
2;24;13.9;3281;25652964
2;25;14.0;3343;25969420
2;26;14.1;3431;26263552
2;27;15.3;3760;26520657
2;28;16.5;4110;26787544
2;29;16.2;4078;27018187
2;30;15.2;3900;27165850
2;31;28.2;7380;27298693
2;32;35.8;9573;27458357
2;33;34.7;9422;27662860
2;34;39.7;11063;27954662
2;35;41.4;11842;28212877
2;36;39.3;11600;28496587
2;37;39.9;12121;28777105
2;38;37.8;11809;29014672
2;39;36.8;11837;29267380
3;0;0.5;4273;949714638
3;1;0.9;105;16383240
3;2;0.9;135;18804226
3;3;1.5;236;20491638
3;4;0.8;119;20645967
3;5;0.7;110;20824399
3;6;0.7;117;21035770
3;7;0.7;113;21272552
3;8;0.8;136;21526796
3;9;0.8;146;21689241
3;10;1.1;193;21822466
3;11;1.1;207;21998396
3;12;0.9;175;22197735
3;13;0.8;154;22423982
3;14;0.7;142;22644373
3;15;0.9;180;22872669
3;16;0.7;137;23111066
3;17;0.7;143;23349445
3;18;0.6;130;23657474
3;19;0.7;147;23998620
3;20;0.8;172;24368037
3;21;0.7;163;24713120
3;22;0.5;116;25022087
3;23;0.3;71;25339972
3;24;0.4;88;25652964
3;25;0.3;65;25969420
3;26;0.3;66;26263552
3;27;0.2;50;26520657
3;28;0.3;72;26787544
3;29;0.2;57;27018187
3;30;0.2;52;27165850
3;31;0.2;40;27298693
3;32;0.2;59;27458357
3;33;0.1;36;27662860
3;34;0.2;41;27954662
3;35;0.3;95;28212877
3;36;0.2;45;28496587
3;37;0.2;56;28777105
3;38;0.2;55;29014672
3;39;0.2;49;29267380
4;0;0.0;0;949714638
4;1;0.0;0;16383240
4;2;0.0;0;18804226
4;3;0.0;0;20491638
4;4;0.0;0;20645967
4;5;0.0;0;20824399
4;6;0.0;0;21035770
4;7;0.0;0;21272552
4;8;0.0;0;21526796
4;9;0.0;0;21689241
4;10;0.0;0;21822466
4;11;0.0;0;21998396
4;12;0.0;0;22197735
4;13;0.0;0;22423982
4;14;0.0;0;22644373
4;15;0.0;0;22872669
4;16;0.0;0;23111066
4;17;0.0;0;23349445
4;18;0.0;0;23657474
4;19;0.0;0;23998620
4;20;0.0;0;24368037
4;21;0.0;0;24713120
4;22;0.0;0;25022087
4;23;0.0;0;25339972
4;24;0.0;0;25652964
4;25;0.0;0;25969420
4;26;0.0;0;26263552
4;27;0.0;0;26520657
4;28;0.0;0;26787544
4;29;0.0;0;27018187
4;30;0.0;0;27165850
4;31;0.0;0;27298693
